"Part";"Value";"Device";"Package";"Description";"BASEPN";"DATASHEETURL";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"NSC_PACKAGEREFERENCE";"OC_FARNELL";"OC_NEWARK";"PACKAGE_DESIGNATOR";"PIN_COUNT";"VENDOR";
"C1";"30pF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"30pF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.068u";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.068u";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.068u";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.068u";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.068u";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CONTROL";"";"JP4Q";"JP4Q";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DC_POWER";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DC_POWER1";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DEVICE+";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DEVICE-";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"REF02Z";"REF02Z";"DIL08";"VOLTAGE REFERENCE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"LM308N";"LM308N";"DIL08";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"LM308N";"LM308N";"DIL08";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP1";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"K1";"351";"351";"351";"RELAY";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"OE";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"OPAMP_POWER";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"12k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"30k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"MCP4921";"MCP4921";"DIL08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"MCP4161";"MCP4161";"DIL08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"OPA552_P_8";"OPA552_P_8";"P8";"";"";"httpwww.ti.comlitgpnOPA552";"HIGH OUTPUT CURRENT";"OPA552";"PDIP";"Texas Instruments";"opa552_p_8";"";"";"";"";"";"P";"8";"Texas Instruments";
"U2";"ADC128S052_PW_16";"ADC128S052_PW_16";"MTC16";"";"ADC128S052";"httpwww.ti.comlitdssymlinkadc128s052.pdf";"";"";"";"Texas Instruments";"adc128s052_pw_16";"";"";"MTC16";"";"";"";"";"Texas Instruments";
"U3";"TXS0108E_PW_20";"TXS0108E_PW_20";"PW20";"";"";"httpwww.ti.comlitgpnTXS0108E";"AUTO DIRECTION SENSING DUAL SUPPLY TRANSLATOR";"TXS0108E";"TSSOP";"Texas Instruments";"txs0108e_pw_20";"";"";"";"";"";"PW";"20";"Texas Instruments";
"V1";"7405N";"7405N";"DIL14";"Hex INVERTER, open collector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
